,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Hithadhoo,55,MV,1661232731,76,-0.6,73.0833,81.64,13.87
67,Rāzole,91,IN,1661232731,51,16.4833,81.8333,93.6,6.96
68,Vanimo,28,PG,1661232732,72,-2.6741,141.3028,84.27,9.91
69,Port Blair,100,IN,1661232732,73,11.6667,92.75,83.46,11.63
70,Mossamedes,1,AO,1661232732,88,-15.1961,12.1522,61.18,7.67
71,Torbay,40,CA,1661232733,94,47.6666,-52.7314,59.58,20.71
72,Vaini,40,TO,1661232733,88,-21.2,-175.2,73.56,8.05
73,Saquena,38,PE,1661232734,83,-4.6667,-73.5167,68.45,0.2
74,Albany,100,US,1661232734,89,42.6001,-73.9662,69.46,2.59
75,Atuona,13,PF,1661232735,68,-9.8,-139.0333,76.33,13.2
76,Punta Arenas,0,CL,1661232613,75,-53.15,-70.9167,35.71,16.11
77,Praia,20,CV,1661232735,94,14.9215,-23.5087,79.34,2.3
78,Pangody,21,RU,1661232464,51,65.85,74.4859,68.86,11.68
79,Doiwāla,44,IN,1661232736,60,30.1833,78.1167,89.55,4.94
80,Hofn,100,IS,1661232736,85,64.2539,-15.2082,50.25,11.54
81,Faanui,24,PF,1661232737,74,-16.4833,-151.75,77.86,19.08
82,Asău,98,RO,1661232737,80,46.4333,26.4,63.52,2.71
83,Victor Harbor,67,AU,1661232738,76,-35.5667,138.6167,54.0,1.99
84,Igualada,77,ES,1661232738,89,41.581,1.6172,72.1,2.62
85,Coyhaique,0,CL,1661232738,70,-45.5752,-72.0662,37.35,4.61
86,Xiongzhou,99,CN,1661232739,37,25.1167,114.3,101.16,2.37
87,Nizwá,30,OM,1661232740,28,22.9333,57.5333,97.09,4.97
88,San Policarpo,100,PH,1661232740,82,12.1791,125.5072,82.94,17.49
89,Pangnirtung,100,CA,1661232741,98,66.1451,-65.7125,39.9,8.32
90,Bluff,99,NZ,1661232741,65,-46.6,168.3333,57.79,15.79
91,Yellowknife,40,CA,1661232741,50,62.456,-114.3525,54.12,10.36
92,Kaabong,65,UG,1661232742,57,3.4836,34.1492,68.63,8.68
93,Den Helder,100,NL,1661232742,92,52.9599,4.7593,67.98,5.99
94,Kruisfontein,94,ZA,1661232743,84,-34.0033,24.7314,51.28,5.57
95,Takoradze,100,GH,1661232744,85,4.8845,-1.7554,75.11,8.66
96,Khani,10,GE,1661232744,33,41.9563,42.9566,74.77,4.85
97,Gari,56,RU,1661232744,44,59.4307,62.3497,73.04,5.44
98,East London,0,ZA,1661232745,88,-33.0153,27.9116,58.14,9.22
99,Khatanga,100,RU,1661232746,92,71.9667,102.5,46.38,8.93
100,Orăştioara de Sus,99,RO,1661232747,85,45.7333,23.1667,65.86,1.43
101,Cockburn Town,78,TC,1661232747,75,21.4612,-71.1419,82.36,13.51
102,Kiryat Gat,2,IL,1661232555,100,31.61,34.7642,79.48,5.66
103,Port Elizabeth,93,ZA,1661232748,99,-33.918,25.5701,52.32,6.91
104,Kamenka,0,RU,1661232748,18,51.3223,42.7678,78.55,15.28
105,Clyde River,100,CA,1661232748,93,70.4692,-68.5914,37.63,14.97
106,Hobart,75,AU,1661232464,63,-42.8794,147.3294,49.86,14.97
107,Pandrup,0,DK,1661232749,88,57.2215,9.6757,57.11,8.05
108,Esperance,88,AU,1661232750,62,-33.8667,121.9,55.63,9.95
109,Le Port,6,RE,1661232750,59,-20.9373,55.2919,77.0,2.3
110,Altay,0,CN,1661232750,29,47.8667,88.1167,66.79,7.83
111,Arraial do Cabo,67,BR,1661232751,77,-22.9661,-42.0278,67.48,13.6
112,Buritis,53,BR,1661232751,54,-15.6178,-46.4233,66.4,2.39
113,George Town,40,MY,1661232752,79,5.4112,100.3354,87.89,10.36
114,Castro,11,BR,1661232752,97,-24.7911,-50.0119,46.53,4.32
115,Tamandaré,99,BR,1661232752,89,-8.7597,-35.1047,73.15,7.67
116,Ballarat,43,AU,1661232742,72,-37.5662,143.8496,45.34,10.02
117,Tromsø,75,NO,1661232753,66,69.6496,18.957,53.62,31.07
118,Tiksi,100,RU,1661232754,78,71.6872,128.8694,40.91,4.32
119,San Carlos,30,VE,1661232754,94,9.6612,-68.5827,68.13,1.5
120,Souillac,40,MU,1661232755,73,-20.5167,57.5167,73.78,12.66
121,Chokurdakh,100,RU,1661232755,67,70.6333,147.9167,56.89,14.54
122,Airai,25,TL,1661232755,41,-8.9266,125.4092,72.5,6.24
123,Mount Isa,0,AU,1661232669,23,-20.7333,139.5,73.17,23.02
124,Timmins,100,CA,1661232631,82,48.4669,-81.3331,60.62,6.91
125,Sanguéya,97,GN,1661232756,94,10.7,-14.3667,73.69,1.43
126,Boyuibe,19,BO,1661232757,55,-20.4167,-63.2833,56.44,3.04
127,Rio Grande,0,BR,1661232757,94,-32.035,-52.0986,54.66,7.87
128,Chui,33,UY,1661232758,95,-33.6971,-53.4616,50.09,4.92
129,New Norfolk,35,AU,1661232758,73,-42.7826,147.0587,49.5,4.0
130,Coquimbo,100,CL,1661232758,87,-29.9533,-71.3436,53.33,2.3
131,Saskylakh,100,RU,1661232759,56,71.9167,114.0833,50.38,9.44
132,Petropavlovsk-Kamchatskiy,0,RU,1661232759,56,53.0452,158.6483,70.39,11.18
133,‘Ewa Beach,40,US,1661232760,66,21.3156,-158.0072,80.55,8.05
134,Coruripe,74,BR,1661232760,86,-10.1256,-36.1756,71.31,8.72
135,Nanchong,95,CN,1661232760,35,30.7951,106.0847,103.6,6.11
136,Samarai,90,PG,1661232761,78,-10.6167,150.6667,81.45,11.97
137,Bathsheba,40,BB,1661232761,83,13.2167,-59.5167,81.21,12.66
138,Zhigansk,99,RU,1661232762,69,66.7697,123.3711,47.62,17.83
139,Sakakah,0,SA,1661232762,20,29.9697,40.2064,81.97,14.99
140,Rivadavia,0,AR,1661232763,36,-33.1905,-68.4608,49.17,1.74
141,Bambous Virieux,40,MU,1661232763,73,-20.3428,57.7575,75.22,12.66
142,Tessalit,21,ML,1661232763,20,20.1986,1.0114,89.2,5.1
143,Bredasdorp,96,ZA,1661232764,85,-34.5322,20.0403,49.08,4.88
144,Waddān,0,LY,1661232764,54,29.1614,16.139,78.46,5.26
145,Itupiranga,100,BR,1661232765,45,-5.1347,-49.3267,80.92,1.57
146,Hong Kong,28,HK,1661232765,74,22.2855,114.1577,95.97,8.99
147,Iqaluit,75,CA,1661232593,75,63.7506,-68.5145,42.53,4.61
148,Saint Paul Harbor,100,US,1661232767,94,57.79,-152.4072,54.91,10.36
149,Hirara,40,JP,1661232767,66,24.8,125.2833,91.67,13.8
150,High Level,0,CA,1661232631,64,58.5169,-117.136,68.11,6.91
151,Ribeira Grande,76,PT,1661232768,77,38.5167,-28.7,73.09,11.41
152,Sitka,100,US,1661232768,82,57.0531,-135.33,60.69,5.75
153,Salalah,100,OM,1661232769,100,17.0151,54.0924,75.29,6.91
154,Liverpool,20,GB,1661232622,94,53.4106,-2.9779,62.53,4.61
155,Kavieng,36,PG,1661232769,64,-2.5744,150.7967,84.16,11.5
156,Humaitá,44,BR,1661232770,50,-7.5061,-63.0208,72.64,1.12
157,Rūdiškės,9,LT,1661232770,59,54.5167,24.8333,69.1,5.68
158,Luganville,48,VU,1661232771,75,-15.5333,167.1667,78.1,12.12
159,Bengkulu,92,ID,1661232771,70,-3.8004,102.2655,83.05,5.35
160,San Vicente,0,AR,1661232772,98,-26.6167,-54.1333,52.21,2.19
161,Benghazi,26,LY,1661232772,65,32.1167,20.0667,80.22,3.91
162,Bayir,0,TR,1661232772,42,37.2687,28.2167,68.52,1.72
163,Magdalena,100,PH,1661232773,78,14.1999,121.429,77.36,9.66
164,Brae,99,GB,1661232773,94,60.3964,-1.353,58.23,19.35
165,Chernyshevskiy,100,RU,1661232774,86,63.0128,112.4714,46.11,4.88
166,Warmbad,0,NA,1661232774,23,-28.45,18.7333,58.6,13.27
167,Ruidoso,38,US,1661232774,91,33.3317,-105.673,61.57,0.0
168,Nome,0,US,1661232775,71,64.5011,-165.4064,57.11,10.36
169,Tuktoyaktuk,75,CA,1661232775,87,69.4541,-133.0374,44.6,14.97
170,Najrān,41,SA,1661232776,17,17.4924,44.1277,88.45,7.78
171,Lavrentiya,47,RU,1661232776,84,65.5833,-171.0,36.72,2.46
172,San Quintín,47,MX,1661232776,86,30.4833,-115.95,69.4,11.34
173,Vila Velha,20,BR,1661232777,83,-20.3297,-40.2925,66.94,3.44
174,Matagami,100,CA,1661232777,94,49.7502,-77.6328,55.51,6.91
175,Terre Haute,0,US,1661232778,93,39.4667,-87.4139,66.96,0.0
176,Port Hardy,100,CA,1661232778,88,50.6996,-127.4199,60.98,4.61
177,Bilibino,100,RU,1661232779,66,68.0546,166.4372,58.1,1.99
178,Livingston,20,GB,1661232779,96,55.9029,-3.5226,61.12,1.14
179,Banff,95,CA,1661232765,94,51.1762,-115.5698,59.38,3.44
180,Narsaq,70,GL,1661232780,70,60.9167,-46.05,37.62,5.32
181,Arroio Grande,11,BR,1661232780,96,-32.2375,-53.0869,47.46,4.83
182,Bubaque,100,GW,1661232781,78,11.2833,-15.8333,80.74,11.36
183,Inta,83,RU,1661232781,50,66.0317,60.1659,70.21,18.84
184,Saint George,0,US,1661232782,52,37.1041,-113.5841,82.63,6.91
185,Auburn,20,US,1661232631,72,47.3073,-122.2284,72.36,4.61
186,Zambezi,2,ZM,1661232782,45,-13.5432,23.1047,62.42,9.42
187,Karratha,2,AU,1661232783,21,-20.7377,116.8463,82.98,24.34
188,Kalabo,3,ZM,1661232783,45,-14.97,22.6814,61.97,6.6
189,Tazmalt,2,DZ,1661232784,78,36.3868,4.3989,71.01,3.96
190,Korla,99,CN,1661232785,23,41.7597,86.1469,78.85,6.11
191,Adrar,1,MR,1661232785,30,20.5022,-10.0711,91.62,9.91
192,Harrai,76,IN,1661232785,89,22.6167,79.2167,73.72,8.12
193,Camargo,90,MX,1661232786,66,27.6667,-105.1667,76.06,7.94
194,Hamilton,0,US,1661232574,94,39.1834,-84.5333,67.08,0.0
195,Inverell,48,AU,1661232787,46,-29.7833,151.1167,63.16,3.0
196,Road Town,9,VG,1661232634,74,18.4167,-64.6167,82.49,13.04
197,Kenai,100,US,1661232517,89,60.5544,-151.2583,58.08,0.0
198,Longyearbyen,75,SJ,1661232788,65,78.2186,15.6401,39.04,17.27
199,Vengerovo,45,RU,1661232789,44,55.6848,76.7471,64.85,4.94
200,Camacha,75,PT,1661232789,94,33.0833,-16.3333,65.62,10.36
201,Athabasca,6,CA,1661232758,69,54.7169,-113.2854,55.81,3.0
202,San Patricio,83,US,1661232790,75,28.017,-97.5169,84.15,15.1
203,Starkville,20,US,1661232790,100,33.4504,-88.8184,73.67,0.0
204,Abu Dhabi,0,AE,1661232518,67,24.4667,54.3667,95.11,3.44
205,Lundazi,96,ZM,1661232791,71,-12.2929,33.1782,62.55,11.18
206,Atasū,32,KZ,1661232791,35,48.6814,71.6433,70.2,12.8
207,Ugoofaaru,100,MV,1661232792,80,5.6667,73.0,80.15,17.0
208,Saldanha,57,ZA,1661232792,53,-33.0117,17.9442,50.05,8.01
209,Santa Marta,40,CO,1661232793,89,11.2408,-74.199,78.85,4.61
210,Presidente Epitácio,2,BR,1661232793,79,-21.7633,-52.1156,62.29,7.81
211,Río Tercero,0,AR,1661232793,57,-32.173,-64.1141,43.81,5.1
212,Gloucester,79,GB,1661232794,91,51.8657,-2.2431,64.29,5.61
213,Puerto del Rosario,0,ES,1661232794,78,28.5004,-13.8627,73.15,13.8
214,Deputatsky,100,RU,1661232795,79,69.3,139.9,45.77,7.9
215,Taksimo,87,RU,1661232795,46,56.3444,114.8794,66.27,1.52
216,Eyl,27,SO,1661232796,57,7.9803,49.8164,83.86,28.5
217,Alihe,2,CN,1661232796,30,50.5667,123.7167,72.52,10.33
218,Talcahuano,100,CL,1661232763,87,-36.7167,-73.1167,51.48,2.3
219,Marrakesh,0,MA,1661232797,73,31.6315,-8.0083,71.67,4.61
220,Lagoa Vermelha,0,BR,1661232797,95,-28.2086,-51.5258,47.7,7.76
221,Distrikt Brokopondo,98,SR,1661232798,91,4.75,-55.1667,73.92,5.91
222,Sarangani,97,PH,1661232798,66,5.4033,125.4636,83.73,3.04
223,Bloomfield,100,US,1661232799,93,40.8068,-74.1854,75.0,4.61
224,Caravelas,98,BR,1661232799,89,-17.7125,-39.2481,68.52,10.33
225,Ponta do Sol,3,PT,1661232799,67,32.6667,-17.1,73.0,3.51
226,Guider,100,CM,1661232800,91,9.9342,13.9486,72.55,4.68
227,Fortuna Foothills,0,US,1661232800,57,32.6578,-114.4119,93.29,11.5
228,Barrhead,100,GB,1661232801,93,55.7992,-4.3929,61.84,4.61
229,Lata,23,PT,1661232801,73,40.1629,-8.3327,65.71,2.44
230,Santa Maria,69,BR,1661232802,96,-29.6842,-53.8069,49.5,4.74
231,Departamento de Maldonado,41,UY,1661232802,95,-34.6667,-54.9167,49.39,4.85
232,Setermoen,96,NO,1661232803,81,68.861,18.3486,52.11,4.0
233,Akbarpur,65,IN,1661232803,52,26.4167,82.55,92.77,5.17
234,Te Anau,50,NZ,1661232803,89,-45.4167,167.7167,45.32,6.49
235,Qarchī Gak,0,AF,1661232804,13,37.04,66.7889,84.74,10.54
236,Baruun-Urt,95,MN,1661232804,32,46.6806,113.2792,65.8,7.78
237,Mamlyutka,99,KZ,1661232805,53,54.9375,68.5394,66.22,2.42
238,Dongfeng,0,CN,1661232805,65,42.6403,125.5118,68.32,12.97
239,Aswān,8,EG,1661232806,19,24.0934,32.907,95.86,10.47
240,Berlevåg,0,NO,1661232806,58,70.8578,29.0864,57.15,20.71
241,Nivala,97,FI,1661232807,70,63.9167,24.9667,52.68,2.59
242,Jasper,0,US,1661232789,74,37.2001,-94.3502,71.55,4.61
243,Madingou,79,CG,1661232807,81,-4.1536,13.55,72.18,4.0
244,Laas,7,IT,1661232808,72,46.6166,10.7002,59.88,6.31
245,Lagoa,85,PT,1661232808,78,39.05,-27.9833,72.77,15.19
246,Whitehorse,75,CA,1661232523,51,60.7161,-135.0538,66.97,13.8
247,Fort Nelson,40,CA,1661232810,88,58.8053,-122.7002,65.79,2.3
248,Batemans Bay,100,AU,1661232810,93,-35.7167,150.1833,52.11,6.49
249,Provideniya,20,RU,1661232811,87,64.3833,-173.3,48.31,11.18
250,Rawson,100,AR,1661232811,51,-43.3002,-65.1023,54.64,7.96
251,Brainerd,0,US,1661232811,94,46.358,-94.2008,64.09,4.23
252,Pishin,20,PK,1661232812,26,30.5803,66.9961,80.19,2.28
253,Keti Bandar,100,PK,1661232812,84,24.1447,67.4497,81.75,15.26
254,Vila Franca do Campo,30,PT,1661232813,80,37.7167,-25.4333,70.21,2.89
255,Prince Rupert,0,CA,1661232813,92,54.3161,-130.3201,58.69,6.91
256,Xinzhi,86,CN,1661232813,38,36.4989,111.7047,83.34,3.69
257,Ekhabi,100,RU,1661232814,95,53.5102,142.9671,54.99,22.57
258,Paamiut,100,GL,1661232815,57,61.994,-49.6678,47.1,31.99
259,Pontianak,75,ID,1661232815,66,-0.0333,109.3333,87.78,4.61
260,Pascagoula,0,US,1661232815,97,30.3658,-88.5561,77.72,0.0
261,Angoram,35,PG,1661232816,57,-4.0625,144.0661,88.92,7.38
262,Ancud,100,CL,1661232816,95,-41.8697,-73.8203,48.0,7.65
263,Mapiripán,67,CO,1661232817,84,2.8892,-72.1256,71.71,4.41
264,Sorong,79,ID,1661232817,67,-0.8833,131.25,83.43,4.34
265,Mayo,20,US,1661232597,92,38.8876,-76.5119,75.94,4.61
266,Black Diamond,1,US,1661232818,73,47.3087,-122.0032,69.48,3.11
267,Raudeberg,93,NO,1661232818,71,61.9875,5.1352,57.87,6.71
268,Tweed,100,CA,1661232818,99,44.4751,-77.3162,67.05,5.44
269,Harper,100,LR,1661232819,88,4.375,-7.7169,75.22,11.52
270,Arman',100,RU,1661232819,91,59.7,150.1667,54.68,4.47
271,Dalbandin,19,PK,1661232820,15,28.8947,64.4101,87.96,8.86
272,Cayenne,0,GF,1661232605,94,4.9333,-52.3333,73.44,0.0
273,Nanortalik,42,GL,1661232820,77,60.1432,-45.2371,42.39,16.31
274,Vânătorii Mici,99,RO,1661232821,75,44.4903,25.5589,74.48,8.97
275,Ust'-Charyshskaya Pristan',57,RU,1661232821,44,52.3934,83.6635,65.77,9.08
276,Acaraú,96,BR,1661232821,82,-2.8856,-40.12,77.41,14.83
277,Okhotsk,95,RU,1661232822,83,59.3833,143.3,58.14,6.29
278,Konstantinovsk,0,RU,1661232822,23,47.5828,41.0922,84.85,17.92
279,Misratah,29,LY,1661232823,62,32.3754,15.0925,80.98,9.46
280,Borovskoy,28,KZ,1661232823,61,53.8,64.15,70.61,5.57
281,Rehoboth,0,NA,1661232823,18,-23.3167,17.0833,54.43,4.94
282,Gilbués,91,BR,1661232824,47,-9.8317,-45.3439,67.15,6.24
283,Yelan',0,RU,1661232824,18,50.949,43.7378,79.45,15.9
284,Evensk,100,RU,1661232825,99,61.95,159.2333,50.04,8.43
285,Cap Malheureux,34,MU,1661232825,61,-19.9842,57.6142,75.47,13.0
286,Tuatapere,87,NZ,1661232826,78,-46.1333,167.6833,49.3,10.22
287,Kununurra,0,AU,1661232826,10,-15.7667,128.7333,93.18,12.66
288,Embu,71,BR,1661232826,93,-23.6489,-46.8522,58.1,4.79
289,Iztapa,93,GT,1661232827,87,13.9333,-90.7075,77.94,4.65
290,Norman Wells,75,CA,1661232827,71,65.282,-126.8329,55.44,17.27
291,Sayyan,51,YE,1661232828,28,15.1718,44.3244,72.88,13.76
292,Puerto Carreño,99,CO,1661232828,90,6.189,-67.4859,72.05,3.71
293,Bria,100,CF,1661232828,95,6.5423,21.9863,70.59,2.55
294,Muros,82,ES,1661232829,82,42.7762,-9.0603,69.15,9.53
295,Balyqshy,0,KZ,1661232830,23,47.0667,51.8667,77.0,17.9
296,Flinders,95,AU,1661232831,85,-34.5833,150.8552,48.18,15.01
297,Aklavik,92,CA,1661232831,60,68.2191,-135.0107,46.81,7.99
298,Hualmay,21,PE,1661232832,85,-11.0964,-77.6139,60.33,10.45
299,Ossora,96,RU,1661232832,82,59.2353,163.0719,59.58,4.81
300,Mercedes,2,AR,1661232832,92,-34.6515,-59.4307,43.65,7.38
301,Belyy Yar,0,RU,1661232833,55,53.6039,91.3903,62.49,6.71
302,Basavakalyan,98,IN,1661232833,65,17.8667,76.95,80.76,14.45
303,Velasco Ibarra,97,EC,1661232834,76,-1.05,-79.6167,72.95,3.38
304,Progreso,40,MX,1661232834,87,21.2833,-89.6667,81.1,8.79
305,Tibagi,11,BR,1661232834,97,-24.5094,-50.4136,49.64,3.51
306,Conde,75,BR,1661232835,100,-7.2597,-34.9075,71.06,6.91
307,Havre-St-Pierre,100,CA,1661232835,100,50.2334,-63.5986,62.96,2.3
308,Zyryanka,100,RU,1661232836,95,65.75,150.85,53.51,11.88
309,Panabá,19,MX,1661232836,90,21.2833,-88.2667,75.29,6.15
310,Marawi,98,PH,1661232837,83,7.9986,124.2928,77.36,2.89
311,Hambantota,40,LK,1661232837,70,6.1241,81.1185,88.14,10.36
312,Champerico,63,GT,1661232837,82,14.3,-91.9167,79.63,4.23
313,Yar-Sale,4,RU,1661232838,43,66.8333,70.8333,71.87,13.2
314,Lázaro Cárdenas,5,MX,1661232838,82,17.9583,-102.2,78.71,3.11
315,Klaksvík,100,FO,1661232839,99,62.2266,-6.589,52.72,18.16
316,Rio Pardo,13,BR,1661232839,98,-29.9897,-52.3781,48.72,4.45
317,Kaohsiung City,75,TW,1661232638,74,22.6163,120.3133,91.49,9.22
318,Maku,0,IR,1661232840,37,39.2911,44.4521,70.41,0.0
319,Tevriz,66,RU,1661232840,55,57.509,72.4042,68.49,0.6
320,Poum,0,NC,1661232840,79,-20.2333,164.0167,75.13,15.66
321,Hutchinson,0,US,1661232601,63,38.0608,-97.9298,69.53,4.61
322,Buckeye,3,US,1661232632,45,33.3703,-112.5838,94.3,6.02
323,Los Llanos de Aridane,75,ES,1661232841,88,28.6585,-17.9182,67.75,14.97
324,Saint Anthony,0,US,1661232842,85,45.0205,-93.218,67.32,0.0
325,Kapit,100,MY,1661232842,75,2.0167,112.9333,86.43,2.66
326,Moyamba,91,SL,1661232843,99,8.1667,-12.4333,71.69,1.48
327,Krasnosel'kup,99,RU,1661232843,49,65.7,82.4667,68.83,15.75
328,Laytown,100,IE,1661232844,93,53.6819,-6.2392,64.13,8.7
329,Tezu,78,IN,1661232844,50,27.9167,96.1667,97.39,3.71
330,Karakol,100,KG,1661232845,26,42.4907,78.3936,65.68,5.17
331,Kashgar,40,CN,1661232845,82,39.4547,75.9797,61.81,4.47
332,Honningsvåg,100,NO,1661232846,71,70.9821,25.9704,53.35,23.02
333,Moree,75,AU,1661232846,55,-29.4667,149.85,60.82,32.21
334,Stirling,100,GB,1661232757,97,56.119,-3.9368,62.19,1.99
335,Grand Gaube,36,MU,1661232847,61,-20.0064,57.6608,75.38,13.0
336,Talavera de la Reina,0,ES,1661232805,49,39.9635,-4.8308,73.83,8.72
337,Miyako,69,JP,1661232847,68,39.6367,141.9525,86.02,10.54
338,Tabuk,100,PH,1661232848,96,17.4189,121.4443,74.53,10.11
339,College,75,US,1661232848,71,64.8569,-147.8028,65.23,1.14
340,Boa Vista,75,BR,1661232849,83,2.8197,-60.6733,75.18,13.8
341,Mandalgovi,100,MN,1661232849,62,45.7625,106.2708,53.47,11.16
342,Channahon,0,US,1661232849,95,41.4295,-88.2287,64.74,0.0
343,Constitución,96,CL,1661232850,93,-35.3333,-72.4167,50.63,5.26
344,La Santisima Trinidad,13,BO,1661232802,56,-14.8333,-64.9,66.61,4.34
345,Alofi,8,NU,1661232851,88,-19.0595,-169.9187,75.09,3.44
346,Certaldo,0,IT,1661232852,100,43.547,11.0402,77.31,2.44
347,Tocache,21,PE,1661232852,79,-8.1842,-76.5125,64.71,0.34
348,Haines Junction,91,CA,1661232853,55,60.7522,-137.5108,62.55,3.44
349,Santa Isabel Rio Negro,96,BR,1661232853,96,-0.4139,-65.0192,69.48,2.57
350,Kungsbacka,100,SE,1661232854,88,57.4872,12.0761,53.51,5.01
351,Inuvik,75,CA,1661232631,61,68.3499,-133.7218,50.76,8.05
352,Hay River,75,CA,1661232854,63,60.8156,-115.7999,62.58,11.5
353,San Cristobal,100,VE,1661232855,98,7.7669,-72.225,71.78,4.05
354,Tautira,51,PF,1661232855,79,-17.7333,-149.15,75.99,18.99
355,Thunder Bay,100,CA,1661232631,94,48.4001,-89.3168,64.38,3.44
356,Moussoro,100,TD,1661232856,77,13.6408,16.4901,78.85,12.3
